sim	f0	f1	f2	f3	Na	Nc	model	Nfold	g_factor
sim1	100	0	0	0	10000	10000	eqm	1.00	1.0
sim2	10	70	10	10	10000	10000	eqm	1.00	1.0
sim3	10	10	70	10	10000	10000	eqm	1.00	1.0
sim4	10	10	10	70	10000	10000	eqm	1.00	1.0
sim5	25	25	25	25	10000	10000	eqm	1.00	1.0
sim6	100	0	0	0	10000	20000	growth	2.0	1.000138629436112
sim7	10	70	10	10	10000	20000	growth	2.0	1.000138629436112
sim8	10	10	70	10	10000	20000	growth	2.0	1.000138629436112
sim9	10	10	10	70	10000	20000	growth	2.0	1.000138629436112
sim10	25	25	25	25	10000	20000	growth	2.0	1.000138629436112
sim11	100	0	0	0	10000	5000	decline	-2.0	0.999861370563888
sim12	10	70	10	10	10000	5000	decline	-2.0	0.999861370563888
sim13	10	10	70	10	10000	5000	decline	-2.0	0.999861370563888
sim14	10	10	10	70	10000	5000	decline	-2.0	0.999861370563888
sim15	25	25	25	25	10000	5000	decline	-2.0	0.999861370563888
